#OTU_IDs	16S_rRNA_Count
4	1
7	1
13	1
21	1
49	1
50	1
52	1
54	1
86	1
126	1
127	1
138	1
150	1
177	2
236	2
245	1
249	1
297	1
329	1
343	1
429	1
533	2
621	1
645	1
652	1
654	1
656	1
668	2
691	1
711	1
714	1
724	1
745	1
746	1
747	1
752	1
754	1
766	1
771	1
772	1
773	1
775	1
781	1
785	1
790	1
804	1
807	2
823	1
824	1
826	1
829	1
830	1
837	1
838	1
883	1
886	1
888	1
911	1
912	1
914	1
919	1
921	1
936	1
937	1
945	1
953	1
963	1
981	1
1006	1
1010	1
1019	1
1029	1
1050	1
1054	1
1105	1
1126	1
1141	1
1143	1
1146	1
1171	1
1174	1
1187	1
1196	1
1199	1
1215	1
1220	3
1222	1
1227	2
1249	2
1251	1
1277	1
1281	2
1287	1
1295	1
1395	2
1404	2
1410	3
1419	3
1422	3
1429	1
1430	1
1431	1
1432	1
1435	1
1442	1
1449	1
1473	1
1491	1
1528	1
1529	1
1538	1
1540	1
1541	1
1547	1
1556	1
1559	1
1572	1
1591	1
1605	1
1624	1
1630	1
1636	1
1641	1
1663	1
1664	1
1665	1
1681	1
1701	1
1711	1
1718	1
1719	1
1720	1
1724	1
1733	1
1771	1
1808	1
1818	1
1819	1
1820	1
1847	1
1852	1
1854	1
1866	1
1871	2
1873	2
1875	2
1878	1
1883	1
1900	1
1906	1
1909	1
1910	1
1911	1
1912	1
1914	1
1923	1
1931	1
1938	1
1940	1
1951	1
1952	4
1956	1
1957	1
1967	1
1969	1
1975	1
1976	1
1992	2
2036	1
2037	1
2051	1
2066	1
2074	1
2079	1
2082	1
2093	1
2098	1
2113	1
2114	1
2115	1
2116	1
2117	1
2120	1
2124	1
2125	1
2127	1
2128	1
2137	1
2148	1
2172	1
2195	1
2201	1
2208	1
2222	1
2228	1
2234	1
2240	1
2243	1
2255	2
2299	1
2310	4
2313	1
2321	1
2322	1
2325	4
2355	3
2358	2
2359	1
2371	1
2380	4
2394	4
2403	1
2407	1
2446	2
2450	2
2453	2
2475	1
2476	1
2477	1
2485	1
2489	1
2508	2
2534	2
2540	2
2554	1
2563	2
2568	1
2573	1
2577	1
2588	1
2589	1
2599	1
2603	1
2611	1
2614	1
2617	4
2619	4
2629	1
2631	2
2632	2
2635	1
2640	10
2647	10
2648	1
2650	1
2677	1
2690	1
2707	2
2710	1
2712	1
2722	1
2723	1
2724	1
2725	1
2729	1
2736	1
2741	1
2745	1
2751	1
2752	1
2776	1
2777	1
2778	1
2783	1
2785	1
2787	1
2793	1
2794	1
2800	1
2801	1
2806	1
2813	1
2818	1
2823	1
2830	1
2840	2
2841	2
2842	1
2843	1
2856	2
2860	2
2861	2
2863	2
2868	2
2877	8
2878	3
2882	3
2885	3
2910	1
2917	1
2930	1
2931	1
2935	1
3025	1
3053	2
3060	1
3089	1
3094	2
3097	3
3121	1
3122	1
3159	1
3207	2
3208	2
3213	1
3232	2
3236	2
3237	2
3240	3
3241	1
3247	2
3253	2
3259	2
3260	2
3261	2
3265	2
3270	2
3274	2
3275	2
3276	2
3284	3
3289	2
3305	2
3307	2
3308	2
3333	2
3345	2
3382	2
3386	2
3391	1
3392	1
3393	1
3439	1
3450	1
3451	1
3462	1
3466	1
3470	1
3474	1
3475	1
3476	1
3490	1
3495	1
3518	1
3534	1
3536	1
3538	1
3541	1
3544	1
3550	1
3580	2
3585	1
3654	1
3667	2
3684	1
3685	1
3696	1
3697	1
3708	1
3709	1
3759	1
3793	1
3804	1
3806	2
3820	2
3823	1
3836	1
3859	1
3860	1
3879	2
3892	2
3906	1
3907	1
3916	1
3918	1
3922	2
3931	2
3932	2
3943	2
3945	2
3956	2
3968	2
3977	2
3984	2
4015	2
4024	2
4032	2
4038	2
4043	2
4047	2
4080	1
4081	2
4082	2
4083	2
4086	2
4099	2
4115	2
4116	2
4127	2
4145	2
4146	1
4204	1
4335	1
4380	1
4382	3
4386	1
4403	1
4404	1
4411	2
4413	1
4446	2
4470	1
4478	1
4497	2
4509	1
4513	1
4518	2
4544	9
4552	9
4562	2
4563	2
4566	2
4571	9
4575	1
4578	9
4591	9
4597	1
4614	1
4632	1
4638	1
4639	1
4640	1
4680	1
4681	1
4707	1
4709	1
4714	1
4715	1
4735	3
4736	2
4737	3
4752	2
4760	1
4762	1
4765	1
4769	1
4803	1
4816	1
4819	1
4827	1
4966	1
5066	1
5067	1
5110	1
5123	1
5136	1
5137	1
5138	1
5158	1
5162	1
5172	1
5263	1
5266	1
5294	1
5364	2
5419	1
5424	1
5438	1
5441	1
5442	1
5460	2
5468	1
5492	2
5497	2
5504	1
5547	1
5583	1
5629	1
5645	1
5652	1
5672	1
5681	1
5683	1
5693	1
5740	1
5753	1
5778	1
5781	1
5784	1
5793	1
5803	1
5807	1
5808	1
5812	1
5822	2
5826	2
5839	1
5847	1
5857	2
5860	1
5900	1
5901	1
5902	1
5904	1
5921	1
5951	1
6010	1
6013	1
6024	1
6027	1
6028	1
6047	1
6052	1
6092	1
6118	1
6123	1
6204	1
6258	1
6263	1
6268	1
6294	2
6303	1
6321	1
6330	1
6357	1
6365	1
6367	1
6368	1
6372	1
6374	1
6535	1
6602	1
6648	1
6674	1
6675	1
6692	2
6693	2
6713	1
6721	1
6749	2
6794	1
6817	1
6825	1
6849	1
6858	1
6859	1
6940	1
6955	1
7046	1
7061	1
7128	1
7183	1
7184	4
7214	6
7229	1
7260	1
7316	1
7338	1
7346	1
7347	1
7366	1
7369	1
7382	1
7425	1
7432	2
7451	1
7452	1
7457	1
7467	1
7470	1
7472	2
7473	1
7505	1
7509	1
7510	1
7511	1
7518	3
7539	1
7543	1
7547	1
7553	1
7559	1
7572	1
7590	1
7594	1
7595	1
7596	1
7604	1
7606	1
7608	1
7616	1
7619	1
7620	1
7628	1
7633	1
7641	1
7643	1
7649	1
7650	1
7655	1
7671	1
7677	1
7681	3
7686	3
7698	3
7719	1
7722	1
7735	1
7760	1
7764	1
7792	2
7801	1
7821	1
7895	1
7908	1
7912	1
7915	1
7920	1
7932	2
7934	1
7936	1
7954	1
7958	1
7971	1
7972	1
7973	1
7976	1
7978	1
7980	1
7983	1
7999	1
8001	1
8002	1
8010	1
8011	1
8012	1
8015	1
8016	1
8026	1
8028	1
8035	2
8039	1
8040	2
8054	1
8079	1
8090	1
8091	3
8097	3
8102	1
8104	3
8105	3
8106	3
8107	3
8114	6
8127	1
8134	1
8146	2
8162	1
8173	1
8181	2
8194	1
8195	1
8204	2
8247	1
8253	4
8254	1
8256	4
8281	1
8290	4
8297	4
8304	4
8315	5
8407	3
8433	5
8491	1
8523	1
8525	1
8619	1
8806	1
8838	1
8849	1
8854	1
8864	1
8875	5
8878	5
8880	5
8881	5
8882	5
8886	5
8897	2
8898	5
8906	2
8958	1
8965	8
8966	2
8994	1
9014	1
9017	10
9020	10
9025	10
9027	2
9033	1
9034	1
9036	10
9041	2
9061	1
9117	1
9121	1
9128	1
9129	1
9131	1
9134	5
9138	5
9155	1
9171	4
9191	3
9213	1
9232	1
9236	1
9245	1
9246	1
9249	1
9250	1
9252	1
9283	1
9303	1
9314	1
9317	3
9349	1
9356	1
9402	1
9459	1
9465	1
9466	1
9475	1
9498	1
9504	6
9505	6
9510	2
9511	1
9518	1
9546	1
9548	2
9557	2
9562	1
9564	1
9610	1
9647	5
9648	4
9649	1
9651	1
9653	1
9665	4
9710	1
9727	1
9787	6
9819	1
9826	4
9846	6
9868	3
9870	4
9912	1
9918	1
9939	1
9961	1
9965	1
9986	5
9994	6
10001	1
10002	1
10085	1
10175	7
10180	1
10196	7
10203	1
10211	1
10212	1
10243	1
10298	1
10323	1
10365	1
10390	1
10404	1
10413	1
10418	1
10430	2
10436	3
10438	3
10442	1
10444	1
10455	1
10459	1
10463	1
10485	1
10486	1
10512	1
10518	1
10535	1
10560	1
10566	10
