#OTU	NSTI
4	0.620218
7	1.311336
13	0.48215399999999997
21	1.555093
49	0.240221
50	0.48215399999999997
52	0.620218
54	0.557878
86	0.027957999999999997
126	0.026562
127	0.036469
138	0.035952
150	0.07203899999999999
177	0.26966599999999996
236	0.122847
245	0.259758
249	0.7466649999999999
297	0.052008000000000006
329	0.034631999999999996
343	0.236213
429	0.48215399999999997
533	0.033116
621	0.037646
645	0.495149
652	0.394419
654	0.343129
656	0.362103
668	0.265119
691	1.849793
711	0.13997300000000001
714	0.48215399999999997
724	0.177564
745	0.639594
746	0.488141
747	0.438722
752	0.260405
754	0.198403
766	0.176333
771	1.140575
772	0.3309
773	0.754537
775	0.23494299999999999
781	0.295979
785	0.6005119999999999
790	0.17551
804	0.18509
807	0.024212
823	0.15633699999999998
824	0.28058
826	0.210369
829	0.27127399999999996
830	1.140575
837	0.23692600000000003
838	0.745325
883	1.4891219999999998
886	0.283767
888	0.28242
911	0.078654
912	0.311716
914	0.20519099999999998
919	0.701493
921	0.105675
936	0.193153
937	0.497468
945	0.183706
953	0.127476
963	0.366708
981	0.209157
1006	0.468663
1010	1.140575
1019	1.140575
1029	0.43539399999999995
1050	0.147429
1054	0.145177
1105	0.178784
1126	0.16725399999999999
1141	0.26161599999999996
1143	0.134102
1146	0.239723
1171	0.207484
1174	0.018862999999999998
1187	0.050002
1196	0.21778699999999998
1199	0.027973
1215	0.165025
1220	0.083371
1222	0.067248
1227	0.043429
1249	0.032182999999999996
1251	0.081066
1277	0.014069
1281	0.053222000000000005
1287	0.365385
1295	0.25604899999999997
1395	0.017525
1404	0.014659
1410	0.07824600000000001
1419	0.054127999999999996
1422	0.024861
1429	0.381944
1430	0.030756
1431	0.132768
1432	0.134663
1435	0.089278
1442	0.077274
1449	0.046225999999999996
1473	0.028014999999999998
1491	0.034872
1528	0.33758699999999997
1529	0.31183099999999997
1538	0.287524
1540	0.5352399999999999
1541	0.052065
1547	0.42081999999999997
1556	0.11396099999999999
1559	0.171208
1572	0.35120999999999997
1591	0.029827
1605	0.051002
1624	0.062138
1630	0.15771300000000002
1636	0.412803
1641	0.024281999999999998
1663	1.062179
1664	0.079699
1665	0.33015700000000003
1681	0.32285
1701	0.054741
1711	0.6321289999999999
1718	0.29393800000000003
1719	0.35238800000000003
1720	0.046955000000000004
1724	0.07842400000000001
1733	0.040979
1771	0.035811
1808	0.042962
1818	0.04917
1819	0.420759
1820	0.062173
1847	0.048881
1852	0.061285
1854	0.049821
1866	0.030126
1871	0.069698
1873	0.089789
1875	0.011926
1878	0.698385
1883	0.44179100000000104
1900	0.033386
1906	0.551042
1909	0.370996
1910	0.033919
1911	0.283794
1912	0.287788
1914	0.283804
1923	0.651492
1931	0.01726
1938	0.028725999999999998
1940	0.017831
1951	0.029623000000000003
1952	0.051923000000000004
1956	0.790668
1957	0.883217
1967	1.087021
1969	0.6402439999999999
1975	0.296216
1976	0.264857
1992	0.026119999999999997
2036	0.34699800000000003
2037	0.266755
2051	0.066842
2066	0.127826
2074	0.187623
2079	0.097789
2082	0.44425200000000004
2093	0.060283
2098	0.035606
2113	0.17130399999999998
2114	0.22711199999999998
2115	0.234475
2116	0.199099
2117	0.214092
2120	0.04729
2124	0.241839
2125	0.291744
2127	0.267235
2128	0.053092999999999994
2137	0.044864
2148	0.054238
2172	0.255254
2195	0.012272
2201	0.21548499999999998
2208	0.065751
2222	0.041191000000000005
2228	0.01924
2234	0.51979
2240	0.334568
2243	0.7823829999999999
2255	0.253669
2299	0.064199
2310	0.009342
2313	0.071979
2321	0.015976
2322	0.04155
2325	0.018928
2355	0.025795
2358	0.008112000000000001
2359	0.045667
2371	0.14834
2380	0.028405
2394	0.023384000000000002
2403	0.168235
2407	0.11775999999999999
2446	0.080996
2450	0.015125999999999999
2453	0.061999
2475	0.07926
2476	0.242006
2477	0.222809
2485	0.288976
2489	0.22500100000000003
2508	0.10878299999999999
2534	0.125153
2540	0.19665
2554	0.032906
2563	0.23145
2568	0.004181
2573	0.008584
2577	0.23079299999999997
2588	0.19956600000000002
2589	0.072608
2599	0.011434999999999999
2603	0.008004
2611	0.038546
2614	0.19156900000000002
2617	0.025894999999999998
2619	0.084146
2629	0.034144
2631	0.5846859999999999
2632	0.49604799999999993
2635	0.024416999999999998
2640	2.581496
2647	2.581496
2648	0.026394
2650	0.030129000000000003
2677	0.07964700000000001
2690	0.011673000000000001
2707	0.08290700000000001
2710	0.366888
2712	0.266448
2722	0.07968099999999999
2723	0.355941
2724	0.183773
2725	0.260153
2729	0.049634
2736	0.128769
2741	0.079367
2745	0.122117
2751	0.144516
2752	0.054766999999999996
2776	0.018488
2777	0.050937
2778	0.11880399999999999
2783	0.143208
2785	0.157324
2787	0.039044
2793	0.132501
2794	0.08228400000000001
2800	0.329345
2801	0.086779
2806	0.022161
2813	0.31646799999999997
2818	0.191905
2823	0.287718
2830	0.049621
2840	0.263812
2841	0.081934
2842	0.068235
2843	0.5597
2856	0.068067
2860	0.013888999999999999
2861	0.071173
2863	0.039157
2868	0.243254
2877	0.077375
2878	0.070146
2882	0.05220399999999999
2885	0.18645
2910	0.348509
2917	1.7793729999999999
2930	0.008690999999999999
2931	0.037754
2935	0.016065
3025	0.037825
3053	0.016562
3060	0.011856
3089	0.0034
3094	0.114004
3097	0.019161
3121	0.009858
3122	0.010181
3159	0.014551
3207	0.042134
3208	0.0020800000000000003
3213	0.015257
3232	0.041474000000000004
3236	0.017039
3237	0.006608
3240	0.042631
3241	0.02283
3247	0.039087000000000004
3253	0.00015
3259	0.003525
3260	0.199042
3261	0.019135
3265	0.177017
3270	0.140544
3274	0.007825
3275	0.23900100000000002
3276	0.157315
3284	0.003439
3289	0.129694
3305	0.32105
3307	0.171531
3308	0.070232
3333	0.010202
3345	0.040154
3382	0.00406
3386	0.063567
3391	0.335769
3392	0.379731
3393	0.39276300000000003
3439	0.046895
3450	0.112202
3451	0.328677
3462	0.08480399999999999
3466	0.328677
3470	0.078696
3474	0.07452
3475	0.078606
3476	0.659575
3490	0.65704
3495	0.266644
3518	0.039585
3534	0.048634
3536	0.058222
3538	0.069428
3541	0.015084
3544	0.020349000000000003
3550	0.037786
3580	0.023112999999999998
3585	0.025006999999999998
3654	0.164713
3667	0.053824000000000004
3684	0.056151
3685	0.13906300000000002
3696	0.032933
3697	0.140264
3708	0.055234000000000005
3709	0.109509
3759	0.007428
3793	0.0024920000000000003
3804	0.007915
3806	0.041081
3820	0.133989
3823	0.1384
3836	0.23621999999999999
3859	0.087141
3860	0.294053
3879	0.19658
3892	0.403432
3906	0.054219
